,name,category,colors,price,link
0,Nike Phantom GX Elite,Firm-Ground Football Boot,1 Colour,$330,https://www.nike.com/ca/t/phantom-gx-elite-football-boot-C8qDZJ/DZ3482-800
1,Nike Mercurial Superfly 9 Elite,Firm-Ground Football Boot,1 Colour,$375,https://www.nike.com/ca/t/mercurial-superfly-9-elite-football-boot-vk8qM2/DZ3457-800
2,Nike Phantom GX Elite,Firm-Ground Football Boot,1 Colour,$365,https://www.nike.com/ca/t/phantom-gx-elite-football-boot-VrmmHP/DZ3487-800
3,Nike Mercurial Vapor 15 Elite,Firm-Ground Football Boot,1 Colour,$330,https://www.nike.com/ca/t/mercurial-vapor-15-elite-football-boot-4GS4FH/DZ3455-800
4,Nike Tiempo Legend 10 Elite,Firm-Ground Football Boot,1 Colour,$295,https://www.nike.com/ca/t/tiempo-legend-10-elite-football-boot-L8lsnm/DZ3176-800
5,Nike Jr. Tiempo Legend 10 Academy,Younger/Older Kids' Multi-Ground Football Boot,1 Colour,$65,https://www.nike.com/ca/t/jr-tiempo-legend-10-academy-younger-older-multi-ground-football-boot-StkcpB/DZ3188-800
6,Nike Jr. Mercurial Superfly 9 Academy,Younger/Older Kids' Multi-Ground Football Boot,1 Colour,$80,https://www.nike.com/ca/t/jr-mercurial-superfly-9-academy-younger-older-multi-ground-football-boot-8vc4r9/DZ3472-800
7,Nike Jr. Phantom GX Academy,Older Kids' Multi-ground Football Boot,1 Colour,$80,https://www.nike.com/ca/t/jr-phantom-gx-academy-older-multi-ground-football-boot-TwrxRw/DZ3492-800
8,Nike Jr. Phantom GX Academy,Younger/Older Kids' Multi-ground Football Boot,1 Colour,$70,https://www.nike.com/ca/t/jr-phantom-gx-academy-younger-older-multi-ground-football-boot-bwVc2G/DZ3494-800
9,Nike Jr. Mercurial Vapor 15 Academy,Younger/Older Kids' Multi-Ground Football Boot,1 Colour,$75,https://www.nike.com/ca/t/jr-mercurial-vapor-15-academy-younger-older-multi-ground-football-boot-XHqz5D/DZ3470-800
10,Nike Phantom Luna Elite,Firm-Ground Football Boot,1 Colour,$365,https://www.nike.com/ca/t/phantom-luna-elite-football-boot-1vV01P/FN8408-800
11,Nike Phantom GX Elite,Firm-Ground Football Boot,3 Colours,$330,https://www.nike.com/ca/t/phantom-gx-elite-football-boot-gx3Nv5/DC9968-040
12,Nike Mercurial Vapor 15 Elite,Firm-Ground Football Boot,2 Colours,$330,https://www.nike.com/ca/t/mercurial-vapor-15-elite-football-boot-tLsSC7/DJ4978-040
13,Nike Phantom Luna FG By You,Custom Women's Firm-Ground Football Boot,6 Colours,$190,https://www.nike.com/ca/u/custom-phantom-luna-academy-by-you-10001552/9955744526
14,Nike Jr. Mercurial Superfly 9 Pro,Younger/Older Kids' Firm-Ground Football Boot,2 Colours,$150,https://www.nike.com/ca/t/jr-mercurial-superfly-9-pro-younger-older-football-boot-W2Zv8V/DJ5606-040
15,Nike Jr. Mercurial Superfly 9 Academy,Younger/Older Kids' Multi-Ground Football Boot,1 Colour,$80,https://www.nike.com/ca/t/jr-mercurial-superfly-9-academy-younger-older-multi-ground-football-boot-TSDhkx/DJ5623-040
16,Nike Jr. Phantom GX Academy,Older Kids' Multi-ground Football Boot,2 Colours,$80,https://www.nike.com/ca/t/jr-phantom-gx-academy-older-multi-ground-football-boot-l4ZXlS/DD9546-040
17,Nike Phantom Luna Elite,Firm-Ground Football Boot,1 Colour,$365,https://www.nike.com/ca/t/phantom-luna-elite-football-boot-BwJGmQ/FN8405-101
18,Nike Mercurial Superfly 9 Elite,Firm-Ground Football Boot,2 Colours,$365,https://www.nike.com/ca/t/mercurial-superfly-9-elite-football-boot-j49dKx/DJ4977-040
19,Nike Tiempo Legend 10 Elite,Firm-Ground Football Boot,1 Colour,$295,https://www.nike.com/ca/t/tiempo-legend-10-elite-football-boot-R9CLXt/DV4328-040
20,Nike Jr. Phantom GX Academy,Older Kids' Multi-ground Football Boot,1 Colour,$70,https://www.nike.com/ca/t/jr-phantom-gx-academy-older-multi-ground-football-boot-BsdwwW/DD9549-040
21,Nike Jr. Phantom GX Academy,Older Kids' Turf Football Shoes,1 Colour,$80,https://www.nike.com/ca/t/jr-phantom-gx-academy-older-football-shoes-7KbKxc/DD9556-040
22,Nike Jr. Phantom GX Academy,Older Kids' Turf Football Shoes,2 Colours,$70,https://www.nike.com/ca/t/jr-phantom-gx-academy-older-football-shoes-4NTLK1/DD9557-040
23,Nike Jr. Phantom GX Club,Older Kids' Multi-ground Football Boot,1 Colour,$50,https://www.nike.com/ca/t/jr-phantom-gx-club-older-multi-ground-football-boot-K99Q4r/DD9564-040
24,Nike Jr. Phantom GX Club,Older Kids' Indoor Court Football Shoes,1 Colour,$50,https://www.nike.com/ca/t/jr-phantom-gx-club-older-indoor-court-football-shoes-4Tktgq/DD9566-040
25,Nike Jr. Phantom GX Club,Older Kids' Turf Football Shoes,1 Colour,$50,https://www.nike.com/ca/t/jr-phantom-gx-club-older-football-shoes-PWrRFb/DD9567-040
26,Nike Jr. Mercurial Superfly 9 Academy,Younger/Older Kids' Artificial-Grass Football Boot,1 Colour,$80,https://www.nike.com/ca/t/jr-mercurial-superfly-9-academy-younger-older-football-boot-WdRS3m/DJ5613-040
27,Nike Jr. Mercurial Vapor 15 Academy,Younger/Older Kids' Multi-Ground Football Boot,2 Colours,$75,https://www.nike.com/ca/t/jr-mercurial-vapor-15-academy-younger-older-multi-ground-football-boot-l8kf5K/DJ5617-040
28,Nike Jr. Mercurial Vapor 15 Academy,Younger/Older Kids' Turf Football Shoes,3 Colours,$75,https://www.nike.com/ca/t/jr-mercurial-vapor-15-academy-younger-older-football-shoes-8VWGCb/DJ5621-040
29,Nike Jr. Mercurial Superfly 9 Club,Younger/Older Kids' Turf Football Shoes,1 Colour,$58,https://www.nike.com/ca/t/jr-mercurial-superfly-9-club-younger-older-football-shoes-ZQ2t1W/DJ5954-040
30,Nike Jr. Mercurial Vapor 15 Club,Younger/Older Kids' Turf Football Shoes,1 Colour,$50,https://www.nike.com/ca/t/jr-mercurial-vapor-15-club-younger-older-football-shoes-6v8W5Z/DJ5956-040
31,Nike Jr. Mercurial Vapor 15 Club,Younger/Older Kids' Multi-Ground Football Boot,1 Colour,$50,https://www.nike.com/ca/t/jr-mercurial-vapor-15-club-younger-older-multi-ground-football-boot-4n5lJ7/DJ5958-040
32,Nike Jr. Tiempo Legend 10 Academy,Younger/Older Kids' Multi-Ground Football Boot,1 Colour,$65,https://www.nike.com/ca/t/jr-tiempo-legend-10-academy-younger-older-multi-ground-football-boot-wm6PFT/DV4348-040
33,Nike Jr. Tiempo Legend 10 Academy,Younger/Older Kids' Turf Football Shoes,1 Colour,$65,https://www.nike.com/ca/t/jr-tiempo-legend-10-academy-younger-older-football-shoes-p8jjvg/DV4351-040
34,Nike Phantom GX Academy Dynamic Fit MG By You,Custom Multi-Ground Football Boot,5 Colours,$170,https://www.nike.com/ca/u/custom-phantom-academy-dynamic-fit-by-you-10001416/5595900790
35,Nike Zoom Mercurial Superfly 9 Academy FG By You,Custom Firm-Ground Football Boot,6 Colours,$165,https://www.nike.com/ca/u/custom-mercurial-superfly-9-academy-by-you-10001357/1977866325
36,Nike Zoom Mercurial Vapor 15 Elite XXV FG,Firm-Ground Football Boot,1 Colour,$330,https://www.nike.com/ca/t/zoom-mercurial-vapor-15-elite-xxv-fg-football-boot-tlC9sL/FB8395-060
37,Nike Mercurial Superfly 9 Pro,Firm-Ground Football Boot,2 Colours,$210,https://www.nike.com/ca/t/mercurial-superfly-9-pro-football-boot-h4DV4s/DJ5598-605
38,Nike Phantom GX Academy MG By You,Custom Multi-Ground Football Boot,6 Colours,$165,https://www.nike.com/ca/u/custom-phantom-academy-low-by-you-10001417/7447001113
39,Nike Mercurial Vapor 15 Pro,Firm-Ground Football Boot,2 Colours,$190,https://www.nike.com/ca/t/mercurial-vapor-15-pro-football-boot-Klkg9X/DJ5603-605
40,Nike Mercurial Vapor 15 Academy,Multi-Ground Football Boot,2 Colours,$115,https://www.nike.com/ca/t/mercurial-vapor-15-academy-multi-ground-football-boot-TmVVRN/DJ5631-605
41,Nike Zoom Mercurial Superfly 9 Academy XXV MG,Multi-Ground Football Boot,1 Colour,$125,https://www.nike.com/ca/t/zoom-mercurial-superfly-9-academy-xxv-mg-multi-ground-football-boot-634nW7/FB8402-060
42,Nike Phantom GX Club,Multi-Ground Football Boot,2 Colours,$80,https://www.nike.com/ca/t/phantom-gx-club-multi-ground-football-boot-Z4q47T/DD9483-446
43,Nike Phantom GX Elite,Firm-Ground Football Boot,3 Colours,$365,https://www.nike.com/ca/t/phantom-gx-elite-football-boot-jJh9PL/DC9969-705
44,Nike Zoom Mercurial Vapor 15 Academy FG/MG By You,Custom Multi-Ground Football Boot,6 Colours,$160,https://www.nike.com/ca/u/custom-nike-zoom-mercurial-vapor-15-academy-by-you-10001355/4232192322
45,Nike Zoom Mercurial Superfly 9 Elite FG By You,Custom Firm-Ground Football Boot,3 Colours,$400,https://www.nike.com/ca/u/custom-nike-mercurial-superfly-9-elite-by-you-10001356/1609658504
46,Nike Mercurial Vapor 15 Elite,Artificial-Grass Football Boots,3 Colours,$330,https://www.nike.com/ca/t/mercurial-vapor-15-elite-football-boot-sQFdvG/DJ5167-146
47,Nike Zoom Mercurial Vapor 15 Elite FG By You,Custom Firm-Ground Football Boot,3 Colours,$370,https://www.nike.com/ca/u/custom-nike-zoom-mercurial-vapor-15-elite-by-you-10001354/6875399337
48,Nike Zoom Mercurial Vapor 15 Academy XXV MG,Multi-Ground Football Boot,1 Colour,$115,https://www.nike.com/ca/t/zoom-mercurial-vapor-15-academy-xxv-mg-multi-ground-football-boot-PMVBlJ/FB8399-060
49,Nike Mercurial Superfly 9 Elite,Artificial-Grass Football Boots,2 Colours,$365,https://www.nike.com/ca/t/mercurial-superfly-9-elite-football-boot-x9Z8kg/DJ5165-146
50,Nike Phantom GX Elite,Artificial-Grass Football Boots,2 Colours,$330,https://www.nike.com/ca/t/phantom-gx-elite-football-boot-50xl62/DD9441-446
51,NikePremier 3,Firm-Ground Football Boot,1 Colour,$145,https://www.nike.com/ca/t/nikepremier-3-football-boot-7HsR0F/AT5889-010
52,Nike Tiempo Legend 9 Elite SG-Pro AC,Soft-Ground Football Boot,1 Colour,$310,https://www.nike.com/ca/t/tiempo-legend-9-elite-sg-pro-ac-football-boot-B9VbqJ/DB0822-001
53,Nike Gripknit Phantom GX Elite AG By You,Custom Football Boot,4 Colours,$385,https://www.nike.com/ca/u/custom-phantom-elite-low-by-you-10001415/3838605020
54,Nike Phantom GX Academy,Soft-Ground Football Boot,2 Colours,$120,https://www.nike.com/ca/t/phantom-gx-academy-football-boot-XGp3D7/DD9471-446
55,Nike Zoom Mercurial Vapor 15 Elite XXV AG-Pro,Artificial-Grass Football Boot,1 Colour,$330,https://www.nike.com/ca/t/zoom-mercurial-vapor-15-elite-xxv-ag-pro-football-boot-4NTLc1/FB8400-060
